rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
107,10001208,MAMB4,Mammaglobin B (MGB2),ssDNA,105.0,-0.28916749358177185,0.1631273329257965
108,10001343,C10,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,17.6,-0.2881077826023102,0.06969139724969864
109,10001214,MAMA6,Mammaglobin A (MGB1),ssDNA,49.0,-0.27506202459335327,0.21572238206863403
110,10001303,Ylac9,Lactoferrin,ssDNA,2.6,-0.2623290419578552,0.13667021691799164
111,10000083,84,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.82,-0.2535456418991089,0.25496718287467957
112,10001302,Ylac8,Lactoferrin,ssDNA,1.0,-0.2375873327255249,0.3289639353752136
113,10000629,Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,67.0,-0.23118218779563904,0.1013718843460083
114,10001400,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,-0.21920284628868103,0.22384077310562134
115,10000627,Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,81.0,-0.20314186811447144,0.09706174582242966
116,10001206,MAMB0,Mammaglobin B (MGB2),ssDNA,80.0,-0.17629504203796387,0.20030906796455383
117,10000512,4.4.16,"Immunoglobulin E (IgE), Human",ssDNA,39.0,-0.16734585165977478,0.27638545632362366
118,10001209,MAMB8,Mammaglobin B (MGB2),ssDNA,78.0,-0.16623997688293457,0.19404758512973785
119,10000862,HA7,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,22.3,-0.1410655975341797,0.18774764239788055
120,10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25.0,-0.09816652536392212,0.17658917605876923
121,10000084,126,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.14,-0.09744429588317871,0.27749428153038025
122,10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44.0,-0.09261029958724976,0.2678244411945343
123,10001376,LDH8r-2,"Lactate dehydrogenase (LDH), Human",ssDNA,10.2,-0.07694661617279053,0.24347953498363495
124,10000170,Trnc.A-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.6,-0.05502563714981079,0.0931202843785286
125,10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.04151606559753418,0.22608639299869537
126,10000353,aptamer A.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,16.0,-0.031092524528503418,0.17131870985031128
127,10001211,MAMB57,Mammaglobin B (MGB2),ssDNA,72.0,-0.005106687545776367,0.15752211213111877
128,10000582,F38,RNA-dependent RNA polymerase (3Dpol),ssRNA,460.0,0.004438966512680054,0.23646658658981323
129,10000865,Lep1,"Leptin protein, Human",ssDNA,870.0,0.012244969606399536,0.207600399851799
130,10000580,IV-33,Streptavidin,ssDNA,59.0,0.020162582397460938,0.1979154348373413
131,10001213,MAMA5,Mammaglobin A (MGB1),ssDNA,54.0,0.02558445930480957,0.20229864120483398
132,10000577,I-26,Streptavidin,ssDNA,85.2,0.02718055248260498,0.2520182728767395
133,10000080,44,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.7,0.05016365647315979,0.25982004404067993
134,10001215,MAMA12,Mammaglobin A (MGB1),ssDNA,8.0,0.071830153465271,0.23646943271160126
135,10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30.0,0.11802741885185242,0.16768476366996765
136,10000088,RT1t49,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4.0,0.1325666457414627,0.15231871604919434
137,10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,0.19445237517356873,0.2802833616733551
138,10001301,Ylac6,Lactoferrin,ssDNA,1.9,0.20340359210968018,0.15047679841518402
139,10001339,C7,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,8.8,0.2127746194601059,0.04094543308019638
140,10000172,Trnc-21,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.009,0.225104421377182,0.17834322154521942
141,10000868,Lep4,"Leptin protein, Human",ssDNA,1470.0,0.229294553399086,0.25590112805366516
142,10001341,C4,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,86.7,0.2448994517326355,0.08665160834789276
143,10000400,#20,Mammalian translation initiation factor 4A (eIF4A),ssRNA,44.0,0.25147420167922974,0.23343317210674286
144,10001298,Ylac1,Lactoferrin,ssDNA,2.2,0.302982896566391,0.12073881179094315
145,10000770,Aptamer 30,Streptavidin,ssDNA,104.265,0.34311312437057495,0.1623869091272354
146,10000681,4C17,Proteinase K-resistant isoform (PrPSc),ssDNA,19.0,0.38825058937072754,0.34451809525489807
