serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10000094,RT26,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1,0.29049340781523736,0.7,0.19,True,results/af3_msa_v2/10000094_RT26
10000093,RT12,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,2,0.2964403608485924,0.71,0.19,True,results/af3_msa_v2/10000093_RT12
10000088,RT1t49,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4,0.2604704541158898,0.71,0.15,True,results/af3_msa_v2/10000088_RT1t49
10000095,RT36,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4,0.2717830548771244,0.71,0.16,True,results/af3_msa_v2/10000095_RT36
10000090,RT6,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5,0.2451690692486641,0.68,0.14,True,results/af3_msa_v2/10000090_RT6
10000091,RT8,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5,0.24484881789973545,0.69,0.13,True,results/af3_msa_v2/10000091_RT8
10000089,RT4,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,8,0.29154475986286754,0.72,0.18,True,results/af3_msa_v2/10000089_RT4
10000092,RT10,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,11,0.3401755246945559,0.72,0.25,True,results/af3_msa_v2/10000092_RT10
10001339,C7,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,8.8,0.8183685051921316,0.65,0.84,True,results/af3_msa_v2/10001339_C7
10001343,C10,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,17.6,0.8138669700640391,0.65,0.84,True,results/af3_msa_v2/10001343_C10
10001342,C5,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,56.5,0.7005225711663069,0.61,0.71,True,results/af3_msa_v2/10001342_C5
10001344,C57,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,82.4,0.7022596614012968,0.6,0.71,True,results/af3_msa_v2/10001344_C57
10001341,C4,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,86.7,0.7031489785924876,0.6,0.71,True,results/af3_msa_v2/10001341_C4
10001386,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,0.2657596799791114,0.54,0.12,True,results/af3_msa_v2/10001386_C7
10001400,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,0.2635570915584075,0.54,0.12,True,results/af3_msa_v2/10001400_C7
10001387,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,0.2647631455688778,0.55,0.12,True,results/af3_msa_v2/10001387_C9
10001401,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,0.2589018462824229,0.54,0.12,True,results/af3_msa_v2/10001401_C9
